找到 1 个数据文件

开始处理 ../../data/raw/pubmed_incremental_2026-03-31.json ...
✗ 导入失败 Nociceptor-derived CGRP enhances dermal type I conventional : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174360c7ba22cbcbef0b3ad5a364f1d5ffd4d534385b', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo and associated autoimmune disorders: a retrospectiv: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601988468147a36f92134ad55b04f079dd3dc4de98eca9', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Treatment of vitiligo with narrowband-UVB (TL01) combined wi: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506019886523e161740dedcf4b85605f5fdbc454b7703e75', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 In vivo reflectance confocal microscopy imaging of vitiligo,: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060198883a76f88045145cc0c3b8a56841d81d1756ab66b', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Response to narrow-band UVB--vitiligo-melasma versus vitilig: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060198901e5f3cdd9b8aa13598e09014006f9dd97ca9b55', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Integrating modern dermatology and Ayurveda in the treatment: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601989212fa50af54af66c5cfb922304bfd59ea2b41f4d', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Transplantation of autologous minigrafts for the treatment o: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060198946b9f1f8d82739748c57f1ca9984b4fb5ef8b5a6', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Relevance of autoimmune thyroiditis in children and adolesce: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060198962990e95037dc0613d8d2aeb1d80253beccb81e0', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Prevalences of and risk factors for vulvar diseases in Nepal: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601989837509f28e83afdba9612b61dc9442cd53d8adf1', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Reduction of skin-homing cytotoxic T cells (CD8+ -CLA+) in p: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506019900891172dea4c1343f5a1ee75fbf798a6b0b6a5af', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Photomedicine and phototherapy considerations for patients w: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199050c9a9fdfa2c07a202f917be5d4aaef84cbba415', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Recent onset vitiligo on acral areas treated with photothera: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506019907010447dde57dfd944c0e0a8e8d78d061e17e677', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Role of apoptosis and melanocytorrhagy: a comparative study : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199100c43b249df4b5023f4c24a0f20d5a332159c0a8', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Prognostic value and clinical significance of halo naevi reg: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506019912042de8e8690a59136303db9f7aadcef94a98122', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The polymorphism of catalase T/C codon 389 in exon 9 and vit: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199136725a4f42d8843cc933295ed532bbcfabb02aca', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Risk factors for genital lichen sclerosus in men.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199152746a7620dda4a28d54e5c02b79b9456a5ec5c7', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 SMOC2 gene variant and the risk of vitiligo in Jordanian Ara: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199168d854dce4563ff2226dc4574f2f03d46ba44d53', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 [Dermatology and skin color].: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199190c57e78ec35a4c62cb30347d58d08558fcbcf9d', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Diagnosis and treatment of vitiligo in a sub-adult eastern b: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199224fa2c2389227ce3e55b5e0c274507b04c20e6dc', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Inflammasome-mediated autoinflammatory disorders.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601992429badbe816172dbb331753bd21c11e8fada5cf8', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo: concise evidence based guidelines on diagnosis and: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506019925837a78def485e7b3326e26783bf1ae8273f7dc9', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Which plant for which skin disease? Part 2: Dermatophytes, c: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601992759d57bd55136dc590b50119bd55b28c185e7ae1', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Treatment of stable vitiligo hands by ReCell system: a preli: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601992982d63eac1fb1ea62df44fceb4e78e820a5f2974', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Transcriptional upregulation of Nrf2-dependent phase II deto: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199317657765fc6300cdd4e93f5ef1ddfe5d42ab3ce7', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 A patient with psoriasis and vitiligo treated with etanercep: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199333d90536776740bbe76c3c9fc51409c73c640990', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Autologous melanocyte-keratinocyte suspension in the treatme: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601993530dc7d08ccbae699addf262669278548c7660d3', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo: pathogenetic hypotheses and targets for current th: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601993698f2bceb731b8edfa7b9ded3d81aaad9d7bd923', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Clinical study of repigmentation patterns with either narrow: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199396d1fe9146833e301f6be5de30142daa107297dc', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo in children and adolescents: association with thyro: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199413ec3db73c4849487ff7f18447ab3797c2603c78', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Topical treatment in vitiligo and the potential uses of new : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601994413ded49481a9ccf2ca6a69a875bd058d2e31b4f', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Polyglandular autoimmune diseases in a dermatological clinic: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199461689e25a8e713c462f619280d3a9e44c059f073', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Promoter polymorphism -119C/G in MYG1 (C12orf10) gene is rel: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199485571e879a7e0eb1247cfcaaab487786a1174c12', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo and glaucoma - an association or a coincidence? A p: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601995041fd265a4e2c1482f666194d4df1ffdb3c805e6', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 308-nm excimer lamp vs. 308-nm excimer laser for treating vi: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199519e31e2cbd743aa4b3b7e027ae77a0e1b7697969', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Enhancement of transdermal absorption, gene expression and s: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199541d8f9f0d4d25eff57d82fede5f007857c88b7d1', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Epidemiology of vitiligo, associated autoimmune diseases and: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199561ca53c98b4a9847edf4b59a94723c611e5ee3b4', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo in North-Eastern China: An association between muco: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601995790f87d46e3706008b2b429e6d043e5cdcfaf580', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Reduced skin homing by functional Treg in vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601995995de161b16d50149cbf4122a430bab0f0dec9a4', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Platelet-derived growth factor receptor alpha gene mutations: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506019962100b89ec33789250673272441d2a45e2f2e3922', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Interventions for vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199641526a66083644b9687bc1b261b2da1d74d2ac28', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The involvement of Smac/DIABLO, p53, NF-kB, and MAPK pathway: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601996586701c75e44aa5c11ca5fd4df8d21a6f61cb640', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The psychological impact of vitiligo in adult Sudanese patie: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601996895a9f949eb72c2227dac5c405ca3d9cd67f9e0b', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Treatment of stable vitiligo by ReCell system.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506019970686599b1c0b236750c2ee79774ecf16d38646d3', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Clinical applications for topical 5-fluorouracil in the trea: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601997256fdba12e18648ff4577e64dddd76d2e79d0419', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Baboon syndrome and segmental vitiligo coexistence.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199754e3fc3002f37f70960f01c9f37bff6e82abd7ab', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo therapy.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506019977377fce418cd3a659821a063326c55dce38b95f7', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Preparation of mixed keratinocyte and melanocyte cultures fr: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199791e1e51997f329de504be0f95a5bc20dc7b80fbf', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The Double Strike Hypothesis of the vitiligo pathomechanism:: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601999303271d8d4673a223f0c4166c9c87819bde54736', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 T cell receptor (TCR) gene transfer with lentiviral vectors : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601999474b4b7d656bffcdc9cfc98fb1f23cda5a61a18b', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Lymphocyte imbalance in vitiligo patients indicated by eleva: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060199997d4d4e90e61a92df7a6484f03dcba35d94f54de', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo update.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506020001666b28213359e1dcf634ec8844c31af0451accb', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Stiff person syndrome: presentation of a case with repetitiv: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506020003617b2b5c03bac6bf21e84d506fe57bc6f820b84', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Imiquimod-induced vitiligo after treatment of nodular basal : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506020005563f0eaab47c0cb1f91106d2dbf243c4d2cf942', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The burden of vitiligo: patient characteristics associated w: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200071f29a4d0cd81a043224b6aa94ffec1f6a937bc3', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Time-kinetic study of repigmentation in vitiligo patients by: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200088dc4a53fe90c8b0d0dbae7674229aa822307436', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Genetic variation of promoter sequence modulates XBP1 expres: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200108987c84bcd2cf8ff80a3b8e4538a0ada7b4bf29', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Treatment of upper- and lower-extremity vitiligo with epider: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602001255dc9aa6c4e6a4204292e30580ff3cb0e2eee21', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Striae: stretching the long list of precipitating factors fo: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506020014483e4395af05ce286d33962f36a5e9379cd3084', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo koebnerized by behçet disease genital ulceration.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200163ac443883f8277eae89ba601a282e4e8f86d45b', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Keratinocyte dysfunction in vitiligo epidermis: cytokine mic: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602001782995bc0404cadc6b35f2fde43a3d6f9cba38f8', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Determination of oxidative stress in vitiligo by measuring s: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602001953092798188ab5941c5f23c4f47e04b6eb0de69', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 VIT1/FBXO11 knockdown induces morphological alterations and : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602002128927e9e6092a7bad85bb8d12dc53808bdab914', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Using a 308-nm excimer laser to treat vitiligo in Asians.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200229ef55df386ee39c3c63d4a703f67ebe4cdead32', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo: a good prognostic factor in melanoma?: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200251ab43917c8feaaa886c8b7a1d23b0964e764a3e', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Willingness-to-pay and quality of life in patients with viti: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200282b23cf76da18c9ebaf41773f9bff9ee59d0dc89', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Evaluation of narrow-band UVB phototherapy in 150 patients w: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200298595b095274e84f4639fb3088e51bd50e5e53b3', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Ultrastructural and functional alterations of mitochondria i: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602003149badbe816172dbb331753bd21c11e8fa3b8db4', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Life quality assessment among patients with vitiligo: compar: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602003379707f6c6d04f57819fc098a4ef7e1cdd826cdb', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Association between IL4 (-590), ACE (I)/(D), CCR5 (Delta32),: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602003552867244b9ca15d3ce81ac5a3ed257d598c47d9', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Clinical observation on the effect of Zengse Pill in treatin: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506020038086f58f29daee4140bdf4a6e6f2c9a77d1e5df1', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 [Tacrolimus in diseases other than atopic dermatitis].: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602004113637ff96f701bcfa7e2aa5f02834aee9366459', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Phototherapy in childhood.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602004292aa43d46c8a07d66938a3e8965240512c269ac', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 [Vitiligo in a patient with pachydermoperiostosis: a fortuit: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602004536fdba12e18648ff4577e64dddd76d2e7619e74', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The analysis of genetics and associated autoimmune diseases : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200472ea9dc72e4279a1799608cb64438f5f0fb611e6', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Gene expression study of IL10 family genes in vitiligo skin : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200488454c0d8025bd4547674d07aeb10e65a3d8f7a6', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Increased numbers of circulating polyfunctional Th17 memory : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602005054b73f3a7fd65ebccde087806b0ec2539dc41d0', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Is there a relationship between homocysteine and vitiligo? A: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602005224d725e50adb936741e457920f0acab3c24b735', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Anti-tumor immunity elicited by adenovirus encoding AdhTrp2 : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200543c7ba22cbcbef0b3ad5a364f1d5ffd4d5718872', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Autoimmune etiology of generalized vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200562454c0d8025bd4547674d07aeb10e65a39ede2e', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Frequency and pattern of psychiatric disorders in patients w: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750602005847b02e641abd64d0836d5f697bc661db6a70a39', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 First case report of topical tacalcitol for vitiligo repigme: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506020060283ba77a8c7facc3ed33837f48351c46524ac85', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Low-energy helium-neon laser therapy induces repigmentation : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060200671d4a2ac3a68c922896c6187ea4caaf35ed91857', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo: new and emerging treatments.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506020069587baed5f4f5afe28d98e4b551391fd70245f41', 'param': '', 'type': 'Not Found'}}
